
2024/10/29 (07:13:17) | ===> btop++ v.1.4.0
2024/10/29 (07:13:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (07:13:29) | ===> btop++ v.1.4.0
2024/10/29 (07:13:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (08:55:00) | ===> btop++ v.1.4.0
2024/10/29 (08:55:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (10:41:29) | ===> btop++ v.1.4.0
2024/10/29 (10:41:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (13:54:42) | ===> btop++ v.1.4.0
2024/10/29 (13:54:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (13:55:06) | ===> btop++ v.1.4.0
2024/10/29 (13:55:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (16:04:49) | ===> btop++ v.1.4.0
2024/10/29 (16:04:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (16:16:40) | ===> btop++ v.1.4.0
2024/10/29 (16:16:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (18:43:04) | ===> btop++ v.1.4.0
2024/10/29 (18:43:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (12:12:12) | ===> btop++ v.1.4.0
2024/10/30 (12:12:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (13:02:47) | ===> btop++ v.1.4.0
2024/10/30 (13:02:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (20:21:28) | ===> btop++ v.1.4.0
2024/10/30 (20:21:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (20:42:20) | ===> btop++ v.1.4.0
2024/10/30 (20:42:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (22:10:58) | ===> btop++ v.1.4.0
2024/10/30 (22:10:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (22:24:39) | ===> btop++ v.1.4.0
2024/10/30 (22:24:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (08:05:03) | ===> btop++ v.1.4.0
2024/10/31 (08:05:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (09:22:35) | ===> btop++ v.1.4.0
2024/10/31 (09:22:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (12:54:38) | ===> btop++ v.1.4.0
2024/10/31 (12:54:38) | WARNING: Intel GPU: Failed to initialize PMU
